player_id,player_name,position,fixture_id,gameweek,kickoff_date,team,opponent,completed,npxG,xA,goals_scored,assists,bonus,clean_sheets,goals_conceded,minutes,total_points,avg_team_xG,avg_team_xGA,avg_opponent_xG,avg_opponent_xGA,proj_score,opponent_proj_score,goal_xP,assist_xP,cs_xP,bonus_xP,concede_xP,xP,avg_npxG,avg_xA,avg_bonus,avg_minutes
17,Nicolas Pépé,M,1,1,2021-08-13,Arsenal,Brentford,1,0.212,0.156,0,0,0,0,0,90,2,,,,,1.61,0.96,,,,,,,,,,
466,Nuno Varela Tavares,D,1,1,2021-08-13,Arsenal,Brentford,1,0.014,0.0,0,0,0,0,0,9,1,,,,,1.61,0.96,,,,,,,,,,
8,Pablo Marí,D,1,1,2021-08-13,Arsenal,Brentford,1,0.032,0.0,0,0,0,0,2,90,1,,,,,1.61,0.96,,,,,,,,,,
94,Patrik Gunnarsson,G,1,1,2021-08-13,Brentford,Arsenal,1,,,0,0,0,0,0,0,0,,,,,0.96,1.61,,,,,,,,,,
82,Pelenda Joshua Dasilva,M,1,1,2021-08-13,Brentford,Arsenal,1,,,0,0,0,0,0,0,0,,,,,0.96,1.61,,,,,,,,,,
4,Pierre-Emerick Aubameyang,F,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
76,Pontus Jansson,D,1,1,2021-08-13,Brentford,Arsenal,1,0.0,0.0,0,0,0,1,0,90,6,,,,,0.96,1.61,,,,,,,,,,
531,Reiss Nelson,M,1,1,2021-08-13,Arsenal,Brentford,1,0.037,0.061,0,0,0,0,0,19,1,,,,,1.61,0.96,,,,,,,,,,
83,Rico Henry,D,1,1,2021-08-13,Brentford,Arsenal,1,0.0,0.0,0,0,0,1,0,90,6,,,,,0.96,1.61,,,,,,,,,,
14,Rob Holding,D,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
2,Rúnar Alex Rúnarsson,G,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
85,Saman Ghoddos,M,1,1,2021-08-13,Brentford,Arsenal,1,,,0,0,0,0,0,0,0,,,,,0.96,1.61,,,,,,,,,,
11,Sead Kolasinac,D,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
81,Sergi Canós,M,1,1,2021-08-13,Brentford,Arsenal,1,0.19,0.559,1,0,3,1,0,90,11,,,,,0.96,1.61,,,,,,,,,,
499,Shandon Baptiste,M,1,1,2021-08-13,Brentford,Arsenal,1,,,0,0,0,0,0,0,0,,,,,0.96,1.61,,,,,,,,,,
79,Tariqe Fosu-Henry,M,1,1,2021-08-13,Brentford,Arsenal,1,,,0,0,0,0,0,0,0,,,,,0.96,1.61,,,,,,,,,,
15,Thomas Partey,M,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
84,Vitaly Janelt,M,1,1,2021-08-13,Brentford,Arsenal,1,0.0,0.0,0,0,0,1,0,90,3,,,,,0.96,1.61,,,,,,,,,,
27,William Saliba,D,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
3,Willian Borges Da Silva,M,1,1,2021-08-13,Arsenal,Brentford,1,,,0,0,0,0,0,0,0,,,,,1.61,0.96,,,,,,,,,,
524,Yoane Wissa,M,1,1,2021-08-13,Brentford,Arsenal,1,,,0,0,0,0,0,0,0,,,,,0.96,1.61,,,,,,,,,,
72,Aaron Connolly,F,2,1,2021-08-14,Brighton,Burnley,1,,,0,0,0,0,0,0,0,,,,,1.31,1.19,,,,,,,,,,
496,Aaron Ramsey,M,8,1,2021-08-14,Aston Villa,Watford,1,,,0,0,0,0,0,0,0,,,,,1.45,1.19,,,,,,,,,,
288,Aaron Wan-Bissaka,D,6,1,2021-08-14,Man Utd,Leeds,1,0.0,0.0,0,0,0,0,0,90,2,,,,,2.06,0.94,,,,,,,,,,
173,Abdoulaye Doucouré,M,4,1,2021-08-14,Everton,Southampton,1,0.063,0.0,1,0,2,0,0,90,8,,,,,1.56,1.08,,,,,,,,,,
525,Adam Armstrong,F,4,1,2021-08-14,Southampton,Everton,1,0.421,0.0,1,0,0,0,0,90,6,,,,,1.08,1.56,,,,,,,,,,
552,Adam Forshaw,M,6,1,2021-08-14,Leeds,Man Utd,1,,,0,0,0,0,0,0,0,,,,,0.94,2.06,,,,,,,,,,
329,Adam Idah,F,7,1,2021-08-14,Norwich,Liverpool,1,0.114,0.0,0,0,0,0,0,13,1,,,,,0.84,2.2,,,,,,,,,,
53,Adam Lallana,M,2,1,2021-08-14,Brighton,Burnley,1,0.0,0.0,0,0,0,0,0,45,1,,,,,1.31,1.19,,,,,,,,,,
390,Adam Masina,D,8,1,2021-08-14,Watford,Aston Villa,1,0.0,0.0,0,0,0,0,2,90,1,,,,,1.19,1.45,,,,,,,,,,
61,Adam Webster,D,2,1,2021-08-14,Brighton,Burnley,1,0.0,0.0,0,0,0,0,0,90,2,,,,,1.31,1.19,,,,,,,,,,
435,Adama Traoré,M,5,1,2021-08-14,Wolves,Leicester,1,0.748,0.081,0,0,0,0,0,90,2,,,,,0.95,1.65,,,,,,,,,,
469,Adedapo Awokoya-Mebude,F,8,1,2021-08-14,Watford,Aston Villa,1,,,0,0,0,0,0,0,0,,,,,1.19,1.45,,,,,,,,,,
223,Adrián San Miguel del Castillo,G,7,1,2021-08-14,Liverpool,Norwich,1,,,0,0,0,0,0,0,0,,,,,2.2,0.84,,,,,,,,,,
174,Alex Iwobi,M,4,1,2021-08-14,Everton,Southampton,1,0.552,0.039,0,1,0,0,0,20,4,,,,,1.56,1.08,,,,,,,,,,
334,Alex McCarthy,G,4,1,2021-08-14,Southampton,Everton,1,0.0,0.0,0,0,0,0,3,90,2,,,,,1.08,1.56,,,,,,,,,,
279,Alex Nicolao Telles,D,6,1,2021-08-14,Man Utd,Leeds,1,,,0,0,0,0,0,0,0,,,,,2.06,0.94,,,,,,,,,,
227,Alex Oxlade-Chamberlain,M,7,1,2021-08-14,Liverpool,Norwich,1,0.03,0.0,0,0,0,1,0,60,3,,,,,2.2,0.84,,,,,,,,,,
74,Alexis Mac Allister,M,2,1,2021-08-14,Brighton,Burnley,1,0.339,0.0,1,0,3,0,0,14,9,,,,,1.31,1.19,,,,,,,,,,
66,Alireza Jahanbakhsh,M,2,1,2021-08-14,Brighton,Burnley,1,,,0,0,0,0,0,0,0,,,,,1.31,1.19,,,,,,,,,,
231,Alisson Ramses Becker,G,7,1,2021-08-14,Liverpool,Norwich,1,0.0,0.0,0,0,0,1,0,90,7,,,,,2.2,0.84,,,,,,,,,,
171,Allan Marques Loureiro,M,4,1,2021-08-14,Everton,Southampton,1,0.035,0.0,0,0,0,0,0,90,2,,,,,1.56,1.08,,,,,,,,,,
535,Andi Zeqiri,F,2,1,2021-08-14,Brighton,Burnley,1,,,0,0,0,0,0,0,0,,,,,1.31,1.19,,,,,,,,,,
172,André Filipe Tavares Gomes,M,4,1,2021-08-14,Everton,Southampton,1,,,0,0,0,0,0,0,0,,,,,1.56,1.08,,,,,,,,,,
383,Andre Gray,F,8,1,2021-08-14,Watford,Aston Villa,1,,,0,0,0,0,0,0,0,,,,,1.19,1.45,,,,,,,,,,
133,Andreas Christensen,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,0.0,0.0,0,0,1,1,0,90,7,,,,,2.23,0.55,,,,,,,,,,
511,Andreas Pereira,M,6,1,2021-08-14,Man Utd,Leeds,1,,,0,0,0,0,0,0,0,,,,,2.06,0.94,,,,,,,,,,
444,Andreas Söndergaard,G,5,1,2021-08-14,Wolves,Leicester,1,,,0,0,0,0,0,0,0,,,,,0.95,1.65,,,,,,,,,,
331,Andrew Omobamidele,D,7,1,2021-08-14,Norwich,Liverpool,1,,,0,0,0,0,0,0,0,,,,,0.84,2.2,,,,,,,,,,
234,Andrew Robertson,D,7,1,2021-08-14,Liverpool,Norwich,1,,,0,0,0,0,0,0,0,,,,,2.2,0.84,,,,,,,,,,
482,Andros Townsend,M,4,1,2021-08-14,Everton,Southampton,1,0.0,0.671,0,1,0,0,0,69,5,,,,,1.56,1.08,,,,,,,,,,
448,Angus Gunn,G,7,1,2021-08-14,Norwich,Liverpool,1,,,0,0,0,0,0,0,0,,,,,0.84,2.2,,,,,,,,,,
512,Anthony Elanga,M,6,1,2021-08-14,Man Utd,Leeds,1,,,0,0,0,0,0,0,0,,,,,2.06,0.94,,,,,,,,,,
503,Anthony Gordon,M,4,1,2021-08-14,Everton,Southampton,1,0.0,0.0,0,0,0,0,0,1,1,,,,,1.56,1.08,,,,,,,,,,
278,Anthony Martial,F,6,1,2021-08-14,Man Utd,Leeds,1,0.0,0.0,0,0,0,0,0,15,1,,,,,2.06,0.94,,,,,,,,,,
127,Antonio Rüdiger,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,0.0,0.0,0,0,0,1,0,90,6,,,,,2.23,0.55,,,,,,,,,,
518,Armando Broja,F,4,1,2021-08-14,Southampton,Everton,1,,,0,0,0,0,0,0,0,,,,,1.08,1.56,,,,,,,,,,
105,Ashley Barnes,F,2,1,2021-08-14,Burnley,Brighton,1,0.0,0.044,0,0,0,0,0,20,1,,,,,1.19,1.31,,,,,,,,,,
395,Ashley Fletcher,F,8,1,2021-08-14,Watford,Aston Villa,1,,,0,0,0,0,0,0,0,,,,,1.19,1.45,,,,,,,,,,
107,Ashley Westwood,M,2,1,2021-08-14,Burnley,Brighton,1,0.0,0.701,0,1,2,0,0,90,7,,,,,1.19,1.31,,,,,,,,,,
52,Ashley Young,D,8,1,2021-08-14,Aston Villa,Watford,1,0.016,0.057,0,0,0,0,3,90,1,,,,,1.45,1.19,,,,,,,,,,
481,Asmir Begović,G,4,1,2021-08-14,Everton,Southampton,1,,,0,0,0,0,0,0,0,,,,,1.56,1.08,,,,,,,,,,
394,Ayotomiwa Dele-Bashiru,M,8,1,2021-08-14,Watford,Aston Villa,1,,,0,0,0,0,0,0,0,,,,,1.19,1.45,,,,,,,,,,
211,Ayoze Pérez,M,5,1,2021-08-14,Leicester,Wolves,1,0.0,0.092,0,0,0,1,0,61,3,,,,,1.65,0.95,,,,,,,,,,
117,Bailey Peacock-Farrell,G,2,1,2021-08-14,Burnley,Brighton,1,,,0,0,0,0,0,0,0,,,,,1.19,1.31,,,,,,,,,,
515,Bali Mumba,D,7,1,2021-08-14,Norwich,Liverpool,1,,,0,0,0,0,0,0,0,,,,,0.84,2.2,,,,,,,,,,
248,Ben Davies,D,7,1,2021-08-14,Liverpool,Norwich,1,,,0,0,0,0,0,0,0,,,,,2.2,0.84,,,,,,,,,,
376,Ben Foster,G,8,1,2021-08-14,Watford,Aston Villa,1,,,0,0,0,0,0,0,0,,,,,1.19,1.45,,,,,,,,,,
456,Ben Gibson,D,7,1,2021-08-14,Norwich,Liverpool,1,0.624,0.0,0,0,0,0,3,90,1,,,,,0.84,2.2,,,,,,,,,,
179,Ben Godfrey,D,4,1,2021-08-14,Everton,Southampton,1,,,0,0,0,0,0,0,0,,,,,1.56,1.08,,,,,,,,,,
106,Ben Mee,D,2,1,2021-08-14,Burnley,Brighton,1,0.381,0.0,0,0,0,0,2,90,1,,,,,1.19,1.31,,,,,,,,,,
401,Ben Wilmot,D,8,1,2021-08-14,Watford,Aston Villa,1,,,0,0,0,0,0,0,0,,,,,1.19,1.45,,,,,,,,,,
553,Ben Woodburn,M,7,1,2021-08-14,Liverpool,Norwich,1,,,0,0,0,0,0,0,0,,,,,2.2,0.84,,,,,,,,,,
135,Benjamin Chilwell,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,,,0,0,0,0,0,0,0,,,,,2.23,0.55,,,,,,,,,,
167,Bernard Anício Caldeira Duarte,M,4,1,2021-08-14,Everton,Southampton,1,,,0,0,0,0,0,0,0,,,,,1.56,1.08,,,,,,,,,,
68,Bernardo Fernandes Da Silva Junior,D,2,1,2021-08-14,Brighton,Burnley,1,,,0,0,0,0,0,0,0,,,,,1.31,1.19,,,,,,,,,,
32,Bertrand Traoré,M,8,1,2021-08-14,Aston Villa,Watford,1,0.077,0.0,0,1,0,0,0,18,4,,,,,1.45,1.19,,,,,,,,,,
145,Billy Gilmour,M,7,1,2021-08-14,Norwich,Liverpool,1,0.0,0.0,0,0,0,0,0,90,2,,,,,0.84,2.2,,,,,,,,,,
31,Björn Engels,D,8,1,2021-08-14,Aston Villa,Watford,1,,,0,0,0,0,0,0,0,,,,,1.45,1.19,,,,,,,,,,
534,Bobby Thomas,D,2,1,2021-08-14,Burnley,Brighton,1,,,0,0,0,0,0,0,0,,,,,1.19,1.31,,,,,,,,,,
458,Boubakary Soumaré,M,5,1,2021-08-14,Leicester,Wolves,1,0.0,0.0,0,0,0,0,0,28,1,,,,,1.65,0.95,,,,,,,,,,
277,Bruno Miguel Borges Fernandes,M,6,1,2021-08-14,Man Utd,Leeds,1,0.784,0.118,3,0,3,0,0,90,20,,,,,2.06,0.94,,,,,,,,,,
217,Çaglar Söyüncü,D,5,1,2021-08-14,Leicester,Wolves,1,0.0,0.0,0,0,0,1,0,90,6,,,,,1.65,0.95,,,,,,,,,,
140,Callum Hudson-Odoi,M,3,1,2021-08-14,Chelsea,Crystal Palace,1,,,0,0,0,0,0,0,0,,,,,2.23,0.55,,,,,,,,,,
242,Caoimhin Kelleher,G,7,1,2021-08-14,Liverpool,Norwich,1,,,0,0,0,0,0,0,0,,,,,2.2,0.84,,,,,,,,,,
526,Carney Chukwuemeka,M,8,1,2021-08-14,Aston Villa,Watford,1,,,0,0,0,0,0,0,0,,,,,1.45,1.19,,,,,,,,,,
119,César Azpilicueta,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,0.029,0.0,0,0,0,1,0,66,6,,,,,2.23,0.55,,,,,,,,,,
113,Charlie Taylor,D,2,1,2021-08-14,Burnley,Brighton,1,0.0,0.008,0,0,0,0,2,90,1,,,,,1.19,1.31,,,,,,,,,,
