,0,1,2,3,4,5,6
0,,,,1.532,,0.0,
1,,,,0.8,,0.0,
2,,,,0.2,,0.0,
3,,,,0.2,,0.0,
4,,,,1.532,,0.0,
5,,,,0.383,,0.0,
6,,,,0.0,,0.0,
7,,,,0.2,,0.0,
8,,,,0.383,,0.0,
9,,,,0.8,,0.0,
10,,,,0.2,,0.0,
11,,,,0.383,,0.0,
12,,,,0.8,,0.0,
13,,,,0.2,,0.0,
14,,,,0.383,,0.0,
15,,,,1.532,,0.0,
16,,,,1.532,,0.0,
17,,,,1.532,,0.0,
18,,,,0.383,,0.0,
19,,,,0.8,,0.0,
20,,,,0.8,,0.0,
21,,,,0.0,,0.0,
22,,,,0.8,,0.0,
23,,,,0.0,,0.0,
24,,,,1.532,,0.0,
25,,,,0.383,,0.0,
26,,,,0.383,,0.0,
27,,,,1.532,,0.0,
28,,,,0.383,,0.0,
29,,,,1.532,,0.0,
30,,,,0.383,,0.0,
31,,,,0.8,,0.0,
32,,,,0.2,,0.0,
33,,,,0.0,,0.0,
34,,,,0.2,,0.0,
35,,,,0.8,,0.0,
36,,,,0.2,,0.0,
37,,,,0.2,,0.0,
38,,,,0.8,,0.0,
39,,,,0.2,,0.0,
40,,,,0.2,,0.0,
41,,,,0.2,,0.0,
42,,,,0.0,,0.0,
43,,,,1.532,,0.0,
44,,,,0.383,,0.0,
45,,,,0.0,,0.0,
46,,,,0.235,,0.0,
47,,,,2.308,,0.0,
48,,,,0.111,,0.0,
49,,,,0.43,,0.0,
50,,,,0.841,,0.0,
51,,,,0.43,,0.0,
52,,,,0.108,,0.0,
53,,,,0.21,,0.0,
54,,,,0.0,,0.0,
55,,,,0.108,,0.0,
56,,,,0.304,,0.0,
57,,,,0.108,,0.0,
58,,,,0.235,,0.0,
59,,,,0.0,,0.0,
60,,,,0.108,,0.0,
61,,,,0.108,,0.0,
62,,,,0.43,,0.0,
63,,,,0.43,,0.0,
64,,,,0.108,,0.0,
65,,,,0.304,,0.0,
66,,,,0.43,,0.0,
67,,,,2.308,,0.0,
68,,,,1.358,,0.0,
69,,,,2.308,,0.0,
70,,,,0.577,,0.0,
71,,,,2.308,,0.0,
72,,,,2.308,,0.0,
73,,,,0.391,,0.0,
74,,,,0.577,,0.0,
75,,,,0.577,,0.0,
76,,,,1.563,,0.0,
77,,,,0.577,,0.0,
78,,,,2.308,,0.0,
79,,,,0.0,,0.0,
80,,,,0.432,,0.0,
81,,,,2.308,,0.0,
82,,,,0.577,,0.0,
83,,,,0.387,,0.0,
84,,,,0.577,,0.0,
85,,,,0.34,,0.0,
86,,,,0.577,,0.0,
87,,,,0.577,,0.0,
88,,,,0.34,,0.0,
89,,,,0.0,,0.0,
90,,,,0.108,,0.0,
91,,,,0.841,,0.0,
92,,,,0.43,,0.0,
93,,,,0.0,,0.0,
94,,,,0.51,,0.0,
95,,,,0.51,,0.0,
96,,,,0.43,,0.0,
97,,,,0.127,,0.0,
98,,,,0.768,,0.0,
99,,,,0.127,,0.0,
100,,,,0.0,,0.0,
101,,,,0.111,,0.0,
102,,,,0.51,,0.0,
103,,,,1.547,,0.0,
104,,,,0.127,,0.0,
105,,,,0.127,,0.0,
106,,,,0.0,,0.0,
107,,,,0.127,,0.0,
108,,,,0.51,,0.0,
109,,,,0.111,,0.0,
110,,,,0.127,,0.0,
111,,,,0.768,,0.0,
112,,,,0.0,,0.0,
113,,,,0.443,,0.0,
114,,,,1.358,,0.0,
115,,,,1.079,,0.0,
116,,,,0.51,,0.0,
117,,,,0.43,,0.0,
118,,,,0.34,,0.0,
119,,,,1.358,,0.0,
120,,,,0.43,,0.0,
121,,,,1.358,,0.0,
122,,,,1.358,,0.0,
123,,,,0.391,,0.0,
124,,,,0.34,,0.0,
125,,,,0.34,,0.0,
126,,,,0.34,,0.0,
127,,,,0.34,,0.0,
128,,,,0.443,,0.0,
129,,,,0.34,,0.0,
130,,,,1.358,,0.0,
131,,,,0.34,,0.0,
132,,,,0.34,,0.0,
133,,,,1.358,,0.0,
134,,,,0.0,,0.0,
135,,,,1.358,,0.0,
136,,,,0.127,,0.0,
137,,,,0.577,,0.0,
138,,,,0.577,,0.0,
139,,,,1.217,,0.0,
140,,,,0.304,,0.0,
141,,,,1.217,,0.0,
142,,,,1.217,,0.0,
143,,,,0.0,,0.0,
144,,,,0.304,,0.0,
145,,,,0.21,,0.0,
146,,,,1.217,,0.0,
147,,,,0.304,,0.0,
148,,,,1.217,,0.0,
149,,,,0.21,,0.0,
150,,,,0.0,,0.0,
151,,,,0.304,,0.0,
152,,,,0.304,,0.0,
153,,,,0.304,,0.0,
154,,,,0.21,,0.0,
155,,,,0.21,,0.0,
156,,,,0.127,,0.0,
157,,,,0.0,,0.0,
158,,,,1.217,,0.0,
159,,,,0.127,,0.0,
160,,,,0.304,,0.0,
161,,,,0.304,,0.0,
162,,,,0.841,,0.0,
163,,,,1.217,,0.0,
164,,,,1.217,,0.0,
165,,,,0.304,,0.0,
166,,,,0.304,,0.0,
167,,,,0.304,,0.0,
168,,,,1.217,,0.0,
169,,,,0.304,,0.0,
170,,,,1.217,,0.0,
171,,,,0.0,,0.0,
172,,,,0.304,,0.0,
173,,,,0.304,,0.0,
174,,,,1.217,,0.0,
175,,,,1.217,,0.0,
176,,,,0.0,,0.0,
177,,,,0.0,,0.0,
178,,,,0.304,,0.0,
179,,,,0.304,,0.0,
180,,,,1.217,,0.0,
181,,,,1.217,,0.0,
182,,,,0.841,,0.0,
183,,,,0.0,,0.0,
184,,,,0.841,,0.0,
185,,,,0.111,,0.0,
186,,,,0.27,,0.0,
187,,,,2.308,,0.0,
188,,,,0.27,,0.0,
189,,,,0.304,,0.0,
190,,,,1.079,,0.0,
191,,,,0.0,,0.0,
192,,,,0.0,,0.0,
193,,,,0.841,,0.0,
194,,,,1.079,,0.0,
195,,,,1.079,,0.0,
196,,,,0.27,,0.0,
197,,,,0.0,,0.0,
198,,,,0.27,,0.0,
199,,,,0.0,,0.0,
200,,,,2.308,,0.0,
201,,,,2.308,,0.0,
202,,,,0.21,,0.0,
203,,,,2.308,,0.0,
204,,,,1.079,,0.0,
205,,,,0.0,,0.0,
206,,,,0.0,,0.0,
207,,,,0.0,,0.0,
208,,,,0.192,,0.0,
209,,,,0.21,,0.0,
210,,,,0.192,,0.0,
211,,,,1.547,,0.0,
212,,,,0.841,,0.0,
213,,,,0.21,,0.0,
214,,,,0.841,,0.0,
215,,,,1.358,,0.0,
216,,,,0.108,,0.0,
217,,,,0.0,,0.0,
218,,,,0.0,,0.0,
219,,,,1.079,,0.0,
220,,,,1.079,,0.0,
221,,,,0.304,,0.0,
222,,,,0.27,,0.0,
223,,,,0.304,,0.0,
224,,,,0.27,,0.0,
225,,,,0.21,,0.0,
226,,,,0.21,,0.0,
227,,,,1.079,,0.0,
228,,,,2.308,,0.0,
229,,,,0.51,,0.0,
230,,,,0.43,,0.0,
231,,,,0.51,,0.0,
232,,,,0.391,,0.0,
233,,,,1.563,,0.0,
234,,,,0.443,,0.0,
235,,,,0.391,,0.0,
236,,,,1.563,,0.0,
237,,,,0.391,,0.0,
238,,,,0.391,,0.0,
239,,,,1.563,,0.0,
240,,,,0.0,,0.0,
241,,,,0.127,,0.0,
242,,,,0.0,,0.0,
243,,,,0.192,,0.0,
244,,,,0.768,,0.0,
