player_name,position,fixture_id,gameweek,kickoff_date,team,opponent,completed,minutes,npxG,xA,bonus,price,avg_team_xG,avg_team_xGA,avg_opponent_xG,avg_opponent_xGA,proj_score,opponent_proj_score,goal_xP,assist_xP,bonus_xP,cs_xP,concede_xP,minutes_xP,xP,goal_points,assist_points,bonus_points,cs_points,concede_points,minutes_points,total_points,avg_npxG,avg_xA,avg_bonus,avg_minutes
Vitaly Janelt,M,1,1,2021-08-13,Brentford,Arsenal,1,90,0.0,0.0,0,5.0,,,,,0.96,1.61,,,,0.2,,0.0,,0,0,0,1,0,2,3,,,,
Mads Roerslev Rasmussen,D,1,1,2021-08-13,Brentford,Arsenal,1,0,,,0,4.5,,,,,0.96,1.61,,,,0.8,,0.0,,0,0,0,0,0,0,0,,,,
Kristoffer Ajer,D,1,1,2021-08-13,Brentford,Arsenal,1,70,0.0,0.081,0,4.5,,,,,0.96,1.61,,,,0.8,,0.0,,0,0,0,4,0,2,6,,,,
Pelenda Joshua Dasilva,M,1,1,2021-08-13,Brentford,Arsenal,1,0,,,0,5.5,,,,,0.96,1.61,,,,0.2,,0.0,,0,0,0,0,0,0,0,,,,
Sergi Canós,M,1,1,2021-08-13,Brentford,Arsenal,1,90,0.19,0.559,3,5.5,,,,,0.96,1.61,,,,0.2,,0.0,,5,0,3,1,0,2,11,,,,
David Raya Martin,G,1,1,2021-08-13,Brentford,Arsenal,1,90,0.0,0.0,1,4.5,,,,,0.96,1.61,,,,0.8,,0.0,,0,0,1,4,0,2,8,,,,
Tariqe Fosu-Henry,M,1,1,2021-08-13,Brentford,Arsenal,1,0,,,0,5.5,,,,,0.96,1.61,,,,0.2,,0.0,,0,0,0,0,0,0,0,,,,
Ivan Toney,F,1,1,2021-08-13,Brentford,Arsenal,1,90,0.0,0.118,0,6.5,,,,,0.96,1.61,,,,0.0,,0.0,,0,0,0,0,0,2,2,,,,
Christian Nørgaard,M,1,1,2021-08-13,Brentford,Arsenal,1,90,1.445,0.0,0,5.0,,,,,0.96,1.61,,,,0.2,,0.0,,5,0,0,1,0,2,8,,,,
Pontus Jansson,D,1,1,2021-08-13,Brentford,Arsenal,1,90,0.0,0.0,0,4.5,,,,,0.96,1.61,,,,0.8,,0.0,,0,0,0,4,0,2,6,,,,
Rico Henry,D,1,1,2021-08-13,Brentford,Arsenal,1,90,0.0,0.0,0,4.5,,,,,0.96,1.61,,,,0.8,,0.0,,0,0,0,4,0,2,6,,,,
Mads Bech Sørensen,D,1,1,2021-08-13,Brentford,Arsenal,1,19,0.0,0.0,0,4.5,,,,,0.96,1.61,,,,0.8,,0.0,,0,0,0,0,0,1,1,,,,
Dominic Thompson,D,1,1,2021-08-13,Brentford,Arsenal,1,0,,,0,4.5,,,,,0.96,1.61,,,,0.8,,0.0,,0,0,0,0,0,0,0,,,,
Ethan Pinnock,D,1,1,2021-08-13,Brentford,Arsenal,1,90,0.0,0.052,2,4.5,,,,,0.96,1.61,,,,0.8,,0.0,,0,3,2,4,0,2,11,,,,
Daniel James,M,6,1,2021-08-14,Leeds,Man Utd,1,74,0.225,0.021,0,6.0,,,,,0.94,2.06,,,,0.127,,0.0,,0,0,0,0,0,2,2,,,,
Ashley Westwood,M,2,1,2021-08-14,Burnley,Brighton,1,90,0.0,0.701,2,5.5,,,,,1.19,1.31,,,,0.27,,0.0,,0,3,2,0,0,2,7,,,,
Aaron Wan-Bissaka,D,6,1,2021-08-14,Man Utd,Leeds,1,90,0.0,0.0,0,5.5,,,,,2.06,0.94,,,,1.563,,0.0,,0,0,0,0,-1,2,2,,,,
Mason Greenwood,M,6,1,2021-08-14,Man Utd,Leeds,1,90,0.12,0.23,1,7.5,,,,,2.06,0.94,,,,0.391,,0.0,,5,0,1,0,0,2,8,,,,
Ben Mee,D,2,1,2021-08-14,Burnley,Brighton,1,90,0.381,0.0,0,5.0,,,,,1.19,1.31,,,,1.079,,0.0,,0,0,0,0,-2,2,1,,,,
Tyrone Mings,D,8,1,2021-08-14,Aston Villa,Watford,1,90,0.0,0.0,0,5.0,,,,,1.45,1.19,,,,1.217,,0.0,,0,0,0,0,-3,2,0,,,,
Romelu Lukaku,F,3,1,2021-08-14,Chelsea,Crystal Palace,1,0,,,0,11.5,,,,,2.23,0.55,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
Christos Tzolis,M,7,1,2021-08-14,Norwich,Liverpool,1,0,,,0,5.0,,,,,0.84,2.2,,,,0.111,,0.0,,0,0,0,0,0,0,0,,,,
Mahmoud Ahmed Ibrahim Hassan,M,8,1,2021-08-14,Aston Villa,Watford,1,0,,,0,5.5,,,,,1.45,1.19,,,,0.304,,0.0,,0,0,0,0,0,0,0,,,,
Trevoh Chalobah,D,3,1,2021-08-14,Chelsea,Crystal Palace,1,90,0.02,0.0,2,5.0,,,,,2.23,0.55,,,,2.308,,0.0,,6,0,2,4,0,2,14,,,,
Kortney Hause,D,8,1,2021-08-14,Aston Villa,Watford,1,0,,,0,4.5,,,,,1.45,1.19,,,,1.217,,0.0,,0,0,0,0,0,0,0,,,,
Carney Chukwuemeka,M,8,1,2021-08-14,Aston Villa,Watford,1,0,,,0,4.5,,,,,1.45,1.19,,,,0.304,,0.0,,0,0,0,0,0,0,0,,,,
Adam Armstrong,F,4,1,2021-08-14,Southampton,Everton,1,90,0.421,0.0,0,6.0,,,,,1.08,1.56,,,,0.0,,0.0,,4,0,0,0,0,2,6,,,,
Ollie Watkins,F,8,1,2021-08-14,Aston Villa,Watford,1,0,,,0,7.5,,,,,1.45,1.19,,,,0.0,,0.0,,0,0,0,0,0,0,0,,,,
