player_name,position,fixture_id,gameweek,kickoff_date,team,opponent,completed,minutes,npxG,xA,bonus,price,avg_team_xG,avg_team_xGA,avg_opponent_xG,avg_opponent_xGA,proj_score,opponent_proj_score,goal_xP,assist_xP,bonus_xP,cs_xP,concede_xP,minutes_xP,xP,goal_points,assist_points,bonus_points,cs_points,concede_points,minutes_points,total_points,avg_npxG,avg_xA,avg_bonus,avg_minutes
Max Aarons,D,26,3,2021-08-28,Norwich,Leicester,1,90,0.043,0.306,2,4.5,0.814,1.661,0.704,1.661,1.08,1.55,0.056,0.127,0.0,0.849,-0.4,2.0,2.632,0,0,2,0,-2,2,3,0.007,0.032,0.0,90.0
Grant Hanley,D,26,3,2021-08-28,Norwich,Leicester,1,90,0.0,0.0,0,4.5,0.814,1.661,0.704,1.661,1.08,1.55,0.74,0.318,0.0,0.849,-0.4,2.0,3.508,0,0,0,0,-2,2,1,0.093,0.08,0.0,90.0
Kenny McLean,M,26,3,2021-08-28,Norwich,Leicester,1,90,0.018,0.0,0,4.9,0.814,1.661,0.704,1.661,1.08,1.55,0.0,0.0,0.0,0.212,0.0,1.0,1.212,0,0,0,0,0,2,2,0.0,0.0,0.0,22.5
Karl Darlow,G,25,3,2021-08-28,Newcastle,Southampton,1,0,,,0,4.5,1.428,2.329,0.641,2.329,1.53,1.31,,,0.0,1.079,-0.576,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Tyrone Mings,D,21,3,2021-08-28,Aston Villa,Brentford,1,0,,,0,5.0,1.24,1.027,1.242,1.027,1.59,0.99,0.308,0.1,0.843,1.486,-0.224,2.0,4.514,0,0,0,0,0,0,0,0.04,0.026,0.9,90.0
Yoane Wissa,M,21,3,2021-08-28,Brentford,Aston Villa,1,24,0.0,0.0,0,6.0,1.242,1.05,1.24,1.05,0.99,1.59,0.0,0.0,0.0,0.204,0.0,1.0,1.204,0,0,0,0,0,1,1,0.0,0.0,0.0,6.5
Lukas Rupp,M,26,3,2021-08-28,Norwich,Leicester,1,17,0.027,0.086,0,4.5,0.814,1.661,0.704,1.661,1.08,1.55,0.425,0.0,0.0,0.212,0.0,2.0,2.637,0,0,0,0,0,1,1,0.064,0.0,0.0,67.5
Mohamed Naser El Sayed Elneny,M,24,3,2021-08-28,Arsenal,Man City,1,45,0.0,0.0,0,4.5,1.036,0.863,2.223,0.863,0.74,2.13,,,0.0,0.119,0.0,0.0,,0,0,0,0,0,1,1,,,0.0,0.0
Martin Dubravka,G,25,3,2021-08-28,Newcastle,Southampton,1,0,,,0,4.5,1.428,2.329,0.641,2.329,1.53,1.31,,,0.0,1.079,-0.576,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Demarai Gray,M,22,3,2021-08-28,Everton,Brighton,1,80,0.186,0.159,0,5.5,2.248,1.509,1.743,1.509,1.1,1.37,0.069,0.169,0.586,0.254,0.0,2.0,3.078,5,0,0,1,0,2,8,0.028,0.115,0.6,82.0
Romelu Lukaku,F,23,3,2021-08-28,Chelsea,Liverpool,1,90,0.271,0.18,0,11.5,1.746,1.042,2.372,1.042,1.31,1.5,4.959,1.208,0.586,0.0,0.0,1.0,7.753,0,0,0,0,0,2,2,1.726,0.537,0.6,45.0
Teemu Pukki,F,26,3,2021-08-28,Norwich,Leicester,1,72,0.179,0.021,1,5.9,0.814,1.661,0.704,1.661,1.08,1.55,1.146,0.0,0.0,0.0,0.0,2.0,3.146,4,0,1,0,0,2,7,0.216,0.0,0.0,76.0
Ciaran Clark,D,25,3,2021-08-28,Newcastle,Southampton,1,0,,,0,4.5,1.428,2.329,0.641,2.329,1.53,1.31,1.498,0.039,0.0,1.079,-0.576,1.0,3.039,0,0,0,0,0,0,0,0.233,0.012,0.0,45.0
Rúben Santos Gato Alves Dias,D,24,3,2021-08-28,Man City,Arsenal,1,90,0.0,0.149,0,6.0,2.223,1.977,1.036,1.977,2.13,0.74,0.0,0.477,0.586,1.908,-0.485,2.0,4.487,0,0,0,4,0,2,6,0.0,0.166,0.6,90.0
Bertrand Traoré,M,21,3,2021-08-28,Aston Villa,Brentford,1,0,,,0,5.9,1.24,1.027,1.242,1.027,1.59,0.99,0.494,0.0,0.0,0.372,0.0,1.0,1.865,0,0,0,0,0,0,0,0.077,0.0,0.0,9.0
Ibrahima Diallo,M,25,3,2021-08-28,Southampton,Newcastle,1,2,0.0,0.0,0,4.5,0.641,2.864,1.428,2.864,1.31,1.53,0.419,0.0,0.0,0.217,0.0,1.0,1.635,0,0,0,0,0,1,1,0.041,0.0,0.0,15.0
Marcus Forss,F,21,3,2021-08-28,Brentford,Aston Villa,1,0,,,0,5.5,1.242,1.05,1.24,1.05,0.99,1.59,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0
Nathan Aké,D,24,3,2021-08-28,Man City,Arsenal,1,0,,,0,5.0,2.223,1.977,1.036,1.977,2.13,0.74,0.264,0.0,0.0,1.908,-0.485,1.0,2.688,0,0,0,0,0,0,0,0.046,0.0,0.0,45.0
Nathan Tella,M,25,3,2021-08-28,Southampton,Newcastle,1,0,,,0,4.9,0.641,2.864,1.428,2.864,1.31,1.53,0.0,0.0,0.0,0.217,0.0,1.0,1.217,0,0,0,0,0,0,0,0.0,0.0,0.0,5.0
Yan Valery,D,25,3,2021-08-28,Southampton,Newcastle,1,0,,,0,4.0,0.641,2.864,1.428,2.864,1.31,1.53,,,0.0,0.866,-0.711,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Neco Williams,D,23,3,2021-08-28,Liverpool,Chelsea,1,0,,,0,4.0,2.372,0.441,1.746,0.441,1.5,1.31,,,0.0,1.079,-0.065,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Frank Onyeka,M,21,3,2021-08-28,Brentford,Aston Villa,1,0,,,0,5.0,1.242,1.05,1.24,1.05,0.99,1.59,0.227,0.134,0.0,0.204,0.0,2.0,2.565,0,0,0,0,0,0,0,0.057,0.056,0.0,74.0
Albert Sambi Lokonga,M,24,3,2021-08-28,Arsenal,Man City,1,0,,,0,5.0,1.036,0.863,2.223,0.863,0.74,2.13,0.093,0.049,0.0,0.119,0.0,2.0,2.261,0,0,0,0,0,0,0,0.026,0.023,0.0,90.0
William Smallbone,M,25,3,2021-08-28,Southampton,Newcastle,1,0,,,0,4.5,0.641,2.864,1.428,2.864,1.31,1.53,,,0.0,0.217,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Mohammed Salisu,D,25,3,2021-08-28,Southampton,Newcastle,1,90,0.015,0.06,0,4.5,0.641,2.864,1.428,2.864,1.31,1.53,0.638,0.0,0.299,0.866,-0.711,2.0,3.092,0,0,0,0,-2,2,1,0.052,0.0,0.3,90.0
Kyle Walker,D,24,3,2021-08-28,Man City,Arsenal,1,45,0.0,0.0,0,5.5,2.223,1.977,1.036,1.977,2.13,0.74,0.109,0.0,0.0,1.908,-0.485,1.0,2.533,0,0,0,0,0,1,1,0.019,0.0,0.0,45.0
Kepa Arrizabalaga,G,23,3,2021-08-28,Chelsea,Liverpool,1,0,,,0,4.9,1.746,1.042,2.372,1.042,1.31,1.5,,,0.0,0.893,-0.228,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Moussa Djenepo,M,25,3,2021-08-28,Southampton,Newcastle,1,57,0.978,0.015,0,5.5,0.641,2.864,1.428,2.864,1.31,1.53,0.112,0.055,0.0,0.217,0.0,2.0,2.384,0,0,0,0,0,1,0,0.011,0.009,0.0,79.5
N'Golo Kanté,M,23,3,2021-08-28,Chelsea,Liverpool,1,45,0.0,0.102,0,4.9,1.746,1.042,2.372,1.042,1.31,1.5,0.0,0.0,0.0,0.223,0.0,1.0,1.223,0,0,0,0,0,1,1,0.0,0.0,0.0,9.0
Gabriel Teodoro Martinelli Silva,M,24,3,2021-08-28,Arsenal,Man City,1,0,,,0,5.4,1.036,0.863,2.223,0.863,0.74,2.13,0.304,0.139,0.0,0.119,0.0,2.0,2.562,0,0,0,0,0,0,0,0.085,0.065,0.0,74.0
Jed Steer,G,21,3,2021-08-28,Aston Villa,Brentford,1,0,,,0,4.0,1.24,1.027,1.242,1.027,1.59,0.99,,,0.0,1.486,-0.224,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Tariq Lamptey,D,22,3,2021-08-28,Brighton,Everton,1,0,,,0,4.5,1.743,0.779,2.248,0.779,1.37,1.1,,,0.0,1.331,-0.154,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Kevin De Bruyne,M,24,3,2021-08-28,Man City,Arsenal,1,0,,,0,12.0,2.223,1.977,1.036,1.977,2.13,0.74,0.115,0.023,0.0,0.477,0.0,1.0,1.615,0,0,0,0,0,0,0,0.024,0.008,0.0,5.5
Wesley Moraes,F,21,3,2021-08-28,Aston Villa,Brentford,1,0,,,0,5.5,1.24,1.027,1.242,1.027,1.59,0.99,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5
Bali Mumba,D,26,3,2021-08-28,Norwich,Leicester,1,0,,,0,4.0,0.814,1.661,0.704,1.661,1.08,1.55,0.0,0.0,0.0,0.849,-0.4,1.0,1.449,0,0,0,0,0,0,0,0.0,0.0,0.0,22.5
Raheem Sterling,M,24,3,2021-08-28,Man City,Arsenal,1,32,0.946,0.111,0,11.0,2.223,1.977,1.036,1.977,2.13,0.74,1.164,0.0,0.0,0.477,0.0,1.0,2.641,0,0,0,0,0,1,1,0.243,0.0,0.0,49.0
Ederson Santana de Moraes,G,24,3,2021-08-28,Man City,Arsenal,1,90,0.0,0.0,0,6.0,2.223,1.977,1.036,1.977,2.13,0.74,0.0,0.0,0.0,1.908,-0.485,2.0,3.424,0,0,0,4,0,2,6,0.0,0.0,0.0,90.0
Joshua Sargent,F,26,3,2021-08-28,Norwich,Leicester,1,17,0.086,0.052,0,5.5,0.814,1.661,0.704,1.661,1.08,1.55,0.17,0.0,0.0,0.0,0.0,1.0,1.17,0,0,0,0,0,1,1,0.032,0.0,0.0,13.0
Ilkay Gündogan,M,24,3,2021-08-28,Man City,Arsenal,1,90,0.219,0.695,1,7.3,2.223,1.977,1.036,1.977,2.13,0.74,0.58,0.083,0.0,0.477,0.0,2.0,3.14,5,0,1,1,0,2,9,0.121,0.029,0.0,79.0
Konstantinos Tsimikas,D,23,3,2021-08-28,Liverpool,Chelsea,1,4,0.0,0.099,0,4.2,2.372,0.441,1.746,0.441,1.5,1.31,0.421,0.228,0.586,1.079,-0.065,2.0,4.25,0,0,0,0,0,1,1,0.111,0.12,0.6,90.0
Riyad Mahrez,M,24,3,2021-08-28,Man City,Arsenal,1,29,0.192,1.301,0,9.0,2.223,1.977,1.036,1.977,2.13,0.74,2.492,0.057,0.0,0.477,0.0,1.0,4.026,0,3,0,0,0,1,4,0.521,0.02,0.0,46.5
Antonio Rüdiger,D,23,3,2021-08-28,Chelsea,Liverpool,1,90,0.0,0.0,0,5.5,1.746,1.042,2.372,1.042,1.31,1.5,0.0,0.0,0.0,0.893,-0.228,2.0,2.664,0,0,0,0,-1,2,1,0.0,0.0,0.0,90.0
Jarrad Branthwaite,D,22,3,2021-08-28,Everton,Brighton,1,0,,,0,4.0,2.248,1.509,1.743,1.509,1.1,1.37,,,0.0,1.016,-0.359,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Bernardo Mota Veiga de Carvalho e Silva,M,24,3,2021-08-28,Man City,Arsenal,1,57,0.114,0.0,0,7.0,2.223,1.977,1.036,1.977,2.13,0.74,0.187,0.0,0.0,0.477,0.0,1.0,1.664,0,3,0,0,0,1,4,0.039,0.0,0.0,45.0
Jan Bednarek,D,25,3,2021-08-28,Southampton,Newcastle,1,0,,,0,4.5,0.641,2.864,1.428,2.864,1.31,1.53,0.0,0.0,0.0,0.866,-0.711,1.0,1.156,0,0,0,0,0,0,0,0.0,0.0,0.0,22.5
Ezri Konsa Ngoyo,D,21,3,2021-08-28,Aston Villa,Brentford,1,88,0.09,0.0,0,5.0,1.24,1.027,1.242,1.027,1.59,0.99,0.0,0.154,0.0,1.486,-0.224,2.0,3.416,0,0,0,0,-1,2,2,0.0,0.04,0.0,90.0
Mads Roerslev Rasmussen,D,21,3,2021-08-28,Brentford,Aston Villa,1,0,,,0,4.4,1.242,1.05,1.24,1.05,0.99,1.59,,,0.0,0.816,-0.23,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Freddie Woodman,G,25,3,2021-08-28,Newcastle,Southampton,1,90,0.0,0.0,0,4.5,1.428,2.329,0.641,2.329,1.53,1.31,0.0,0.0,0.0,1.079,-0.576,2.0,2.503,0,0,0,0,-2,2,2,0.0,0.0,0.0,90.0
John Stones,D,24,3,2021-08-28,Man City,Arsenal,1,0,,,0,5.4,2.223,1.977,1.036,1.977,2.13,0.74,,,0.0,1.908,-0.485,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Curtis Jones,M,23,3,2021-08-28,Liverpool,Chelsea,1,0,,,0,5.0,2.372,0.441,1.746,0.441,1.5,1.31,,,0.0,0.27,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Zack Steffen,G,24,3,2021-08-28,Man City,Arsenal,1,0,,,0,4.5,2.223,1.977,1.036,1.977,2.13,0.74,,,0.0,1.908,-0.485,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Che Adams,F,25,3,2021-08-28,Southampton,Newcastle,1,70,0.08,0.088,0,7.0,0.641,2.864,1.428,2.864,1.31,1.53,0.286,2.144,0.0,0.0,0.0,2.0,4.431,0,0,0,0,0,2,2,0.035,0.352,0.0,90.0
Benjamin Mendy,D,24,3,2021-08-28,Man City,Arsenal,1,0,,,0,5.4,2.223,1.977,1.036,1.977,2.13,0.74,0.0,0.831,0.676,1.908,-0.485,1.0,3.931,0,0,0,0,0,0,0,0.0,0.289,0.7,39.0
João Pedro Cavaco Cancelo,D,24,3,2021-08-28,Man City,Arsenal,1,90,0.597,0.0,0,6.0,2.223,1.977,1.036,1.977,2.13,0.74,0.673,1.504,0.0,1.908,-0.485,2.0,5.6,0,0,0,4,0,2,6,0.117,0.524,0.0,90.0
Kurt Zouma,D,28,3,2021-08-28,West Ham,Crystal Palace,1,0,,,0,5.4,3.215,1.011,0.432,1.011,1.88,0.94,,,,1.563,-0.219,0.0,,0,0,0,0,0,0,0,,,,
Charlie Goode,D,21,3,2021-08-28,Brentford,Aston Villa,1,0,,,0,4.0,1.242,1.05,1.24,1.05,0.99,1.59,,,0.0,0.816,-0.23,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Leandro Trossard,M,22,3,2021-08-28,Brighton,Everton,1,90,0.241,0.021,0,6.4,1.743,0.779,2.248,0.779,1.37,1.1,0.275,0.0,0.0,0.333,0.0,2.0,2.608,0,0,0,0,0,2,2,0.07,0.0,0.0,73.0
Tino Livramento,D,25,3,2021-08-28,Southampton,Newcastle,1,90,0.0,0.84,0,4.1,0.641,2.864,1.428,2.864,1.31,1.53,0.086,0.0,0.0,0.866,-0.711,2.0,2.241,0,0,0,0,-2,2,1,0.007,0.0,0.0,90.0
Aymeric Laporte,D,24,3,2021-08-28,Man City,Arsenal,1,90,0.317,0.0,0,5.5,2.223,1.977,1.036,1.977,2.13,0.74,0.937,0.0,0.586,1.908,-0.485,1.0,3.947,0,0,0,4,0,2,6,0.163,0.0,0.6,45.0
Mads Bech Sørensen,D,21,3,2021-08-28,Brentford,Aston Villa,1,0,,,0,4.5,1.242,1.05,1.24,1.05,0.99,1.59,0.0,0.0,0.0,0.816,-0.23,1.0,1.585,0,0,0,0,0,0,0,0.0,0.0,0.0,9.5
Jack Cork,M,29,3,2021-08-29,Burnley,Leeds,1,0,,,0,4.5,1.602,1.576,0.807,1.576,1.39,1.46,0.299,0.0,0.0,0.232,0.0,2.0,2.532,0,0,0,0,0,0,0,0.069,0.0,0.0,87.0
Rúben Diogo da Silva Neves,M,30,3,2021-08-29,Wolves,Man Utd,1,90,0.055,0.015,0,5.5,1.421,0.669,1.657,0.669,0.97,1.69,0.137,0.567,0.0,0.185,0.0,2.0,2.888,0,0,0,0,0,2,1,0.04,0.277,0.0,90.0
Aaron Wan-Bissaka,D,30,3,2021-08-29,Man Utd,Wolves,1,90,0.0,0.0,2,5.5,1.657,0.989,1.421,0.989,1.69,0.97,0.0,0.11,0.0,1.516,-0.213,2.0,3.413,0,0,2,4,0,2,8,0.0,0.036,0.0,90.0
Francisco Machado Mota de Castro Trincão,M,30,3,2021-08-29,Wolves,Man Utd,1,69,0.407,0.0,0,5.9,1.421,0.669,1.657,0.669,0.97,1.69,0.341,0.143,0.0,0.185,0.0,2.0,2.669,0,0,0,1,0,2,3,0.1,0.07,0.0,84.0
Juraj Kucka,M,27,3,2021-08-29,Watford,Spurs,1,90,0.145,0.0,0,5.5,0.963,2.016,1.388,2.016,0.82,2.04,0.439,0.0,0.0,0.13,0.0,1.0,1.569,0,0,0,0,0,2,2,0.103,0.0,0.0,34.0
Dane Scarlett,F,27,3,2021-08-29,Spurs,Watford,1,0,,,0,4.5,1.388,1.351,0.963,1.351,2.04,0.82,,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Imrân Louza,M,27,3,2021-08-29,Watford,Spurs,1,0,,,0,5.4,0.963,2.016,1.388,2.016,0.82,2.04,0.0,0.061,0.0,0.13,0.0,1.0,1.191,0,0,0,0,0,0,0,0.0,0.024,0.0,22.5
João Pedro Junqueira de Jesus,F,27,3,2021-08-29,Watford,Spurs,1,0,,,0,5.4,0.963,2.016,1.388,2.016,0.82,2.04,,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Jeremy Ngakia,D,27,3,2021-08-29,Watford,Spurs,1,39,0.0,0.0,0,4.4,0.963,2.016,1.388,2.016,0.82,2.04,,,0.0,0.52,-0.495,0.0,,0,0,0,0,0,1,1,,,0.0,0.0
Aaron Lennon,M,29,3,2021-08-29,Burnley,Leeds,1,27,0.0,0.0,0,5.0,1.602,1.576,0.807,1.576,1.39,1.46,,,,0.232,0.0,0.0,,0,0,0,0,0,1,0,,,,
Ismaila Sarr,M,27,3,2021-08-29,Watford,Spurs,1,90,0.219,0.111,0,6.0,0.963,2.016,1.388,2.016,0.82,2.04,0.566,0.764,1.167,0.13,0.0,2.0,4.627,0,0,0,0,0,2,2,0.133,0.299,1.4,90.0
Dwight McNeil,M,29,3,2021-08-29,Burnley,Leeds,1,90,0.027,0.545,1,5.9,1.602,1.576,0.807,1.576,1.39,1.46,0.082,0.2,0.0,0.232,0.0,2.0,2.515,0,0,1,0,0,2,3,0.019,0.077,0.0,84.0
Mateusz Klich,M,29,3,2021-08-29,Leeds,Burnley,1,0,,,0,5.5,0.807,2.169,1.602,2.169,1.46,1.39,1.447,0.119,0.843,0.249,0.0,2.0,4.659,0,0,0,0,0,0,0,0.16,0.022,0.9,74.5
Ken Sema,M,27,3,2021-08-29,Watford,Spurs,1,0,,,0,5.4,0.963,2.016,1.388,2.016,0.82,2.04,0.051,1.037,0.0,0.13,0.0,2.0,3.218,0,0,0,0,0,0,0,0.012,0.406,0.0,83.5
Luke Ayling,D,29,3,2021-08-29,Leeds,Burnley,1,90,0.0,0.0,0,4.5,0.807,2.169,1.602,2.169,1.46,1.39,0.478,0.016,0.0,0.996,-0.535,2.0,2.955,0,0,0,0,-1,2,2,0.044,0.003,0.0,90.0
Ashley Fletcher,F,27,3,2021-08-29,Watford,Spurs,1,0,,,0,5.0,0.963,2.016,1.388,2.016,0.82,2.04,,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Liam Cooper,D,29,3,2021-08-29,Leeds,Burnley,1,90,0.028,0.0,0,4.5,0.807,2.169,1.602,2.169,1.46,1.39,0.087,0.125,0.0,0.996,-0.535,2.0,2.673,0,0,0,0,-1,2,2,0.008,0.023,0.0,90.0
Steven Bergwijn,M,27,3,2021-08-29,Spurs,Watford,1,67,0.169,0.0,0,6.0,1.388,1.351,0.963,1.351,2.04,0.82,3.14,1.19,0.0,0.44,0.0,2.0,6.77,0,3,0,1,0,2,6,0.429,0.27,0.0,83.0
Victor Lindelöf,D,30,3,2021-08-29,Man Utd,Wolves,1,0,,,0,5.0,1.657,0.989,1.421,0.989,1.69,0.97,0.0,0.774,0.0,1.516,-0.213,2.0,4.077,0,0,0,0,0,0,0,0.0,0.253,0.0,90.0
Nélson Cabral Semedo,D,30,3,2021-08-29,Wolves,Man Utd,1,90,0.0,0.016,0,4.9,1.421,0.669,1.657,0.669,0.97,1.69,0.143,0.389,0.0,0.738,-0.123,1.0,2.147,0,0,0,0,-1,2,2,0.035,0.19,0.0,45.0
Scott McTominay,M,30,3,2021-08-29,Man Utd,Wolves,1,0,,,0,5.5,1.657,0.989,1.421,0.989,1.69,0.97,0.219,0.037,0.0,0.379,0.0,1.0,1.635,0,0,0,0,0,0,0,0.043,0.012,0.0,41.0
Francisco Sierralta,D,27,3,2021-08-29,Watford,Spurs,1,90,0.0,0.0,0,4.4,0.963,2.016,1.388,2.016,0.82,2.04,,,0.0,0.52,-0.495,0.0,,0,0,0,0,-1,2,2,,,0.0,0.0
Romain Saïss,D,30,3,2021-08-29,Wolves,Man Utd,1,90,0.907,0.0,0,5.0,1.421,0.669,1.657,0.669,0.97,1.69,0.016,0.078,0.0,0.738,-0.123,2.0,2.709,0,0,0,0,-1,2,1,0.004,0.038,0.0,86.5
Adam Forshaw,M,29,3,2021-08-29,Leeds,Burnley,1,0,,,0,4.5,0.807,2.169,1.602,2.169,1.46,1.39,,,0.0,0.249,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Ryan Sessegnon,D,27,3,2021-08-29,Spurs,Watford,1,0,,,0,4.4,1.388,1.351,0.963,1.351,2.04,0.82,,,0.0,1.762,-0.315,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Erik Pieters,D,29,3,2021-08-29,Burnley,Leeds,1,0,,,0,4.5,1.602,1.576,0.807,1.576,1.39,1.46,0.0,0.0,0.0,0.929,-0.377,1.0,1.552,0,0,0,0,0,0,0,0.0,0.0,0.0,5.5
Eric Bailly,D,30,3,2021-08-29,Man Utd,Wolves,1,0,,,0,5.0,1.657,0.989,1.421,0.989,1.69,0.97,,,0.0,1.516,-0.213,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
José Malheiro de Sá,G,30,3,2021-08-29,Wolves,Man Utd,1,90,0.0,0.0,0,5.0,1.421,0.669,1.657,0.669,0.97,1.69,0.0,0.0,0.0,0.738,-0.123,2.0,2.615,0,0,0,0,-1,2,2,0.0,0.0,0.0,90.0
Mason Greenwood,M,30,3,2021-08-29,Man Utd,Wolves,1,89,0.683,0.139,0,7.6,1.657,0.989,1.421,0.989,1.69,0.97,0.775,0.569,1.253,0.379,0.0,2.0,4.977,5,0,0,1,0,2,8,0.152,0.186,1.6,90.0
Kevin Long,D,29,3,2021-08-29,Burnley,Leeds,1,0,,,0,4.0,1.602,1.576,0.807,1.576,1.39,1.46,,,0.0,0.929,-0.377,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
José Diogo Dalot Teixeira,D,30,3,2021-08-29,Man Utd,Wolves,1,1,0.0,0.0,0,4.5,1.657,0.989,1.421,0.989,1.69,0.97,,,0.0,1.516,-0.213,0.0,,0,0,0,0,0,1,0,,,0.0,0.0
Leander Dendoncker,M,30,3,2021-08-29,Wolves,Man Utd,1,0,,,0,4.9,1.421,0.669,1.657,0.669,0.97,1.69,0.061,0.0,0.0,0.185,0.0,1.0,1.246,0,0,0,0,0,0,0,0.018,0.0,0.0,21.0
Ben Davies,D,27,3,2021-08-29,Spurs,Watford,1,0,,,0,4.5,1.388,1.351,0.963,1.351,2.04,0.82,,,0.0,1.762,-0.315,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Oghenekaro Peter Etebo,M,27,3,2021-08-29,Watford,Spurs,1,90,0.0,0.082,0,4.5,0.963,2.016,1.388,2.016,0.82,2.04,0.013,0.061,0.0,0.13,0.0,2.0,2.204,0,0,0,0,0,2,1,0.003,0.024,0.0,90.0
Heung-Min Son,M,27,3,2021-08-29,Spurs,Watford,1,87,0.089,0.103,2,10.1,1.388,1.351,0.963,1.351,2.04,0.82,1.799,0.168,1.167,0.44,0.0,2.0,5.574,5,0,2,1,0,2,10,0.245,0.038,1.4,80.5
Matthew Lowton,D,29,3,2021-08-29,Burnley,Leeds,1,90,0.064,0.764,1,4.5,1.602,1.576,0.807,1.576,1.39,1.46,0.0,0.062,0.0,0.929,-0.377,2.0,2.614,0,3,1,0,-1,2,6,0.0,0.024,0.0,90.0
Ben Mee,D,29,3,2021-08-29,Burnley,Leeds,1,90,0.047,0.013,0,5.0,1.602,1.576,0.807,1.576,1.39,1.46,1.504,0.0,0.0,0.929,-0.377,2.0,4.056,0,0,0,0,-1,2,1,0.289,0.0,0.0,90.0
Sam Greenwood,F,29,3,2021-08-29,Leeds,Burnley,1,0,,,0,4.5,0.807,2.169,1.602,2.169,1.46,1.39,,,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Harry Kane,F,27,3,2021-08-29,Spurs,Watford,1,90,0.114,0.175,0,12.3,1.388,1.351,0.963,1.351,2.04,0.82,2.65,0.697,0.0,0.0,0.0,1.0,4.347,0,0,0,0,0,2,1,0.453,0.158,0.0,9.0
Matt Doherty,D,27,3,2021-08-29,Spurs,Watford,1,0,,,0,4.9,1.388,1.351,0.963,1.351,2.04,0.82,0.0,0.0,0.0,1.762,-0.315,1.0,2.447,0,0,0,0,0,0,0,0.0,0.0,0.0,3.5
Anthony Elanga,M,30,3,2021-08-29,Man Utd,Wolves,1,0,,,0,5.0,1.657,0.989,1.421,0.989,1.69,0.97,,,0.0,0.379,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
Ashley Westwood,M,29,3,2021-08-29,Burnley,Leeds,1,90,0.0,0.047,0,5.4,1.602,1.576,0.807,1.576,1.39,1.46,0.0,1.818,1.167,0.232,0.0,1.0,4.217,0,0,0,0,0,2,2,0.0,0.701,1.4,45.0
Fabio Silva,F,30,3,2021-08-29,Wolves,Man Utd,1,3,0.0,0.0,0,5.9,1.421,0.669,1.657,0.669,0.97,1.69,0.011,0.0,0.0,0.0,0.0,1.0,1.011,0,0,0,0,0,1,1,0.004,0.0,0.0,3.5
Lucas Rodrigues Moura da Silva,M,27,3,2021-08-29,Spurs,Watford,1,22,0.066,0.0,0,6.5,1.388,1.351,0.963,1.351,2.04,0.82,0.794,0.331,0.0,0.44,0.0,2.0,3.565,0,0,0,0,0,1,1,0.108,0.075,0.0,78.0
Johann Berg Gudmundsson,M,29,3,2021-08-29,Burnley,Leeds,1,62,0.102,0.0,0,5.5,1.602,1.576,0.807,1.576,1.39,1.46,0.486,0.023,0.0,0.232,0.0,2.0,2.742,0,0,0,1,0,2,3,0.112,0.009,0.0,84.0
Ki-Jana Hoever,D,30,3,2021-08-29,Wolves,Man Utd,1,0,,,0,4.0,1.421,0.669,1.657,0.669,0.97,1.69,0.139,0.176,0.0,0.738,-0.123,1.0,1.93,0,0,0,0,0,0,0,0.034,0.086,0.0,45.0
Eric Dier,D,27,3,2021-08-29,Spurs,Watford,1,90,0.035,0.0,1,4.6,1.388,1.351,0.963,1.351,2.04,0.82,0.194,0.0,0.676,1.762,-0.315,2.0,4.317,0,0,1,4,0,2,7,0.022,0.0,0.7,90.0
Chem Campbell,M,30,3,2021-08-29,Wolves,Man Utd,1,0,,,0,4.5,1.421,0.669,1.657,0.669,0.97,1.69,,,0.0,0.185,0.0,0.0,,0,0,0,0,0,0,0,,,0.0,0.0
