gw,date,name,position,minutes,bonus,points,npxG,xA,team,opponent
1.0,2021-08-14,Alisson Ramses Becker,G,90,0.0,7.0,0.0,0.0,Liverpool,Norwich
1.0,2021-08-14,Kieran Dowell,M,4,0.0,1.0,0.0,0.038,Norwich,Liverpool
1.0,2021-08-14,Joseph Gomez,D,0,0.0,0.0,,,Liverpool,Norwich
1.0,2021-08-14,Tim Krul,G,90,0.0,2.0,0.0,0.0,Norwich,Liverpool
1.0,2021-08-14,Sam Byram,D,0,0.0,0.0,,,Norwich,Liverpool
1.0,2021-08-14,James Milner,M,90,0.0,2.0,0.0,0.047,Liverpool,Norwich
1.0,2021-08-14,Lukas Rupp,M,90,0.0,2.0,0.092,0.0,Norwich,Liverpool
1.0,2021-08-14,Andrew Omobamidele,D,0,0.0,0.0,,,Norwich,Liverpool
1.0,2021-08-14,Adam Idah,F,13,0.0,1.0,0.114,0.0,Norwich,Liverpool
1.0,2021-08-14,Kenny McLean,M,0,0.0,0.0,,,Norwich,Liverpool
1.0,2021-08-14,Grant Hanley,D,90,0.0,1.0,0.133,0.114,Norwich,Liverpool
1.0,2021-08-14,Curtis Jones,M,0,0.0,0.0,,,Liverpool,Norwich
1.0,2021-08-14,Milot Rashica,M,76,0.0,2.0,0.042,0.063,Norwich,Liverpool
1.0,2021-08-14,Andrew Robertson,D,0,0.0,0.0,,,Liverpool,Norwich
1.0,2021-08-14,Joel Matip,D,90,0.0,6.0,0.064,0.0,Liverpool,Norwich
1.0,2021-08-14,Thiago Alcántara do Nascimento,M,0,0.0,0.0,,,Liverpool,Norwich
1.0,2021-08-14,Takumi Minamino,M,0,0.0,0.0,,,Liverpool,Norwich
1.0,2021-08-14,Joshua Sargent,F,13,0.0,1.0,0.046,0.0,Norwich,Liverpool
1.0,2021-08-14,Naby Keita,M,82,0.0,3.0,0.0,0.222,Liverpool,Norwich
1.0,2021-08-14,Trent Alexander-Arnold,D,90,0.0,6.0,0.071,0.129,Liverpool,Norwich
1.0,2021-08-14,Alex Oxlade-Chamberlain,M,60,0.0,3.0,0.03,0.0,Liverpool,Norwich
