gameweek,kickoff_date,fixture_id,completed,team,opponent,home,team_xG,team_xGA,proj_score,opponent_proj_score,avg_team_xG,avg_team_xGA
3.0,2021-08-28,28,1,West Ham,Crystal Palace,1,1.39,1.79,1.88,0.94,3.32,3.32
3.0,2021-08-29,29,1,Burnley,Leeds,1,1.7,1.34,1.39,1.46,1.718,1.718
3.0,2021-08-29,29,1,Leeds,Burnley,0,1.34,1.7,1.46,1.39,0.758,0.758
3.0,2021-08-29,30,1,Man Utd,Wolves,0,0.84,1.89,1.69,0.97,1.578,1.578
3.0,2021-08-29,30,1,Wolves,Man Utd,1,1.89,0.84,0.97,1.69,1.384,1.384
4.0,2021-09-11,31,1,Arsenal,Norwich,1,2.66,0.61,1.73,0.83,0.909,0.909
4.0,2021-09-11,31,1,Norwich,Arsenal,0,0.61,2.66,0.83,1.73,1.063,1.063
4.0,2021-09-11,32,1,Brentford,Brighton,1,0.77,0.21,1.11,1.2,1.24,1.24
4.0,2021-09-11,32,1,Brighton,Brentford,0,0.21,0.77,1.2,1.11,1.56,1.56
4.0,2021-09-11,33,1,Aston Villa,Chelsea,0,1.25,1.25,0.69,2.09,1.078,1.078
4.0,2021-09-11,33,1,Chelsea,Aston Villa,1,1.25,1.25,2.09,0.69,1.349,1.349
4.0,2021-09-11,34,1,Crystal Palace,Spurs,1,3.3,0.08,1.08,1.74,0.684,0.684
4.0,2021-09-11,34,1,Spurs,Crystal Palace,0,0.08,3.3,1.74,1.08,1.286,1.286
4.0,2021-09-13,35,1,Burnley,Everton,0,1.92,1.66,0.96,1.69,1.714,1.714
4.0,2021-09-13,35,1,Everton,Burnley,1,1.66,1.92,1.69,0.96,2.116,2.116
4.0,2021-09-12,36,1,Leeds,Liverpool,1,0.76,4.81,1.07,2.14,0.874,0.874
4.0,2021-09-12,36,1,Liverpool,Leeds,0,4.81,0.76,2.14,1.07,2.364,2.364
4.0,2021-09-11,37,1,Leicester,Man City,1,0.84,3.14,0.94,2.14,0.827,0.827
4.0,2021-09-11,37,1,Man City,Leicester,0,3.14,0.84,2.14,0.94,2.566,2.566
4.0,2021-09-11,38,1,Man Utd,Newcastle,1,2.73,0.56,2.31,0.81,1.43,1.43
4.0,2021-09-11,38,1,Newcastle,Man Utd,0,0.56,2.73,0.81,2.31,1.46,1.46
4.0,2021-09-11,39,1,Southampton,West Ham,1,0.7,0.83,1.44,1.67,1.231,1.231
4.0,2021-09-11,39,1,West Ham,Southampton,0,0.83,0.7,1.67,1.44,2.934,2.934
4.0,2021-09-11,40,1,Watford,Wolves,1,0.29,2.73,1.05,1.24,0.958,0.958
4.0,2021-09-11,40,1,Wolves,Watford,0,2.73,0.29,1.24,1.05,1.485,1.485
5.0,2021-09-18,41,1,Aston Villa,Everton,1,0.85,0.98,1.4,1.34,1.112,1.112
5.0,2021-09-18,41,1,Everton,Aston Villa,0,0.98,0.85,1.34,1.4,2.024,2.024
5.0,2021-09-19,42,1,Brighton,Leicester,1,1.47,1.47,1.34,1.16,1.29,1.29
5.0,2021-09-19,42,1,Leicester,Brighton,0,1.47,1.47,1.16,1.34,0.829,0.829
5.0,2021-09-18,43,1,Arsenal,Burnley,0,0.96,1.05,1.52,1.22,1.259,1.259
5.0,2021-09-18,43,1,Burnley,Arsenal,1,1.05,0.96,1.22,1.52,1.756,1.756
5.0,2021-09-18,44,1,Crystal Palace,Liverpool,0,0.66,3.34,0.64,2.49,1.208,1.208
5.0,2021-09-18,44,1,Liverpool,Crystal Palace,1,3.34,0.66,2.49,0.64,2.854,2.854
5.0,2021-09-18,45,1,Man City,Southampton,1,1.32,0.44,2.74,0.53,2.68,2.68
5.0,2021-09-18,45,1,Southampton,Man City,0,0.44,1.32,0.53,2.74,1.125,1.125
5.0,2021-09-17,46,1,Leeds,Newcastle,0,1.6,1.38,1.54,1.5,0.852,0.852
5.0,2021-09-17,46,1,Newcastle,Leeds,1,1.38,1.6,1.5,1.54,1.28,1.28
5.0,2021-09-18,47,1,Norwich,Watford,1,0.82,2.69,1.27,1.04,0.972,0.972
5.0,2021-09-18,47,1,Watford,Norwich,0,2.69,0.82,1.04,1.27,0.824,0.824
5.0,2021-09-19,48,1,Chelsea,Spurs,0,2.51,0.96,1.65,1.16,1.329,1.329
5.0,2021-09-19,48,1,Spurs,Chelsea,1,0.96,2.51,1.16,1.65,1.044,1.044
5.0,2021-09-19,49,1,Man Utd,West Ham,0,2.47,1.76,1.67,1.3,1.69,1.69
5.0,2021-09-19,49,1,West Ham,Man Utd,1,1.76,2.47,1.3,1.67,2.513,2.513
5.0,2021-09-18,50,1,Brentford,Wolves,0,2.04,1.21,0.82,1.37,1.146,1.146
5.0,2021-09-18,50,1,Wolves,Brentford,1,1.21,2.04,1.37,0.82,1.734,1.734
6.0,2021-09-26,51,1,Arsenal,Spurs,1,1.48,1.52,1.54,1.3,1.199,1.199
6.0,2021-09-26,51,1,Spurs,Arsenal,0,1.52,1.48,1.3,1.54,1.028,1.028
6.0,2021-09-25,52,1,Brentford,Liverpool,1,3.08,2.83,0.8,2.17,1.325,1.325
6.0,2021-09-25,52,1,Liverpool,Brentford,0,2.83,3.08,2.17,0.8,2.951,2.951
6.0,2021-09-25,53,1,Chelsea,Man City,1,0.21,1.95,1.26,1.46,1.565,1.565
6.0,2021-09-25,53,1,Man City,Chelsea,0,1.95,0.21,1.46,1.26,2.408,2.408
6.0,2021-09-27,54,1,Brighton,Crystal Palace,0,0.99,1.42,1.24,1.14,1.326,1.326
6.0,2021-09-27,54,1,Crystal Palace,Brighton,1,1.42,0.99,1.14,1.24,1.098,1.098
6.0,2021-09-25,55,1,Everton,Norwich,1,2.02,0.81,1.74,0.85,1.816,1.816
6.0,2021-09-25,55,1,Norwich,Everton,0,0.81,2.02,0.85,1.74,0.942,0.942
6.0,2021-09-25,56,1,Leeds,West Ham,1,1.26,2.05,1.47,1.57,1.001,1.001
6.0,2021-09-25,56,1,West Ham,Leeds,0,2.05,1.26,1.57,1.47,2.363,2.363
6.0,2021-09-25,57,1,Burnley,Leicester,0,0.47,2.09,1.08,1.72,1.614,1.614
6.0,2021-09-25,57,1,Leicester,Burnley,1,2.09,0.47,1.72,1.08,0.958,0.958
6.0,2021-09-25,58,1,Aston Villa,Man Utd,0,1.57,1.98,0.92,1.95,1.06,1.06
6.0,2021-09-25,58,1,Man Utd,Aston Villa,1,1.98,1.57,1.95,0.92,1.846,1.846
6.0,2021-09-26,59,1,Southampton,Wolves,1,0.94,1.01,1.25,1.15,0.988,0.988
6.0,2021-09-26,59,1,Wolves,Southampton,0,1.01,0.94,1.15,1.25,1.629,1.629
6.0,2021-09-25,60,1,Newcastle,Watford,0,2.16,1.06,1.31,1.39,1.3,1.3
6.0,2021-09-25,60,1,Watford,Newcastle,1,1.06,2.16,1.39,1.31,1.197,1.197
7.0,2021-10-02,61,1,Arsenal,Brighton,0,0.4,1.24,1.21,1.24,1.256,1.256
7.0,2021-10-02,61,1,Brighton,Arsenal,1,1.24,0.4,1.24,1.21,1.259,1.259
7.0,2021-10-02,62,1,Burnley,Norwich,1,0.85,0.56,1.56,1.01,1.386,1.386
7.0,2021-10-02,62,1,Norwich,Burnley,0,0.56,0.85,1.01,1.56,0.915,0.915
7.0,2021-10-02,63,1,Chelsea,Southampton,1,4.0,1.59,2.0,0.57,1.294,1.294
7.0,2021-10-02,63,1,Southampton,Chelsea,0,1.59,4.0,0.57,2.0,0.978,0.978
7.0,2021-10-03,64,1,Crystal Palace,Leicester,1,1.25,1.03,1.28,1.39,1.162,1.162
7.0,2021-10-03,64,1,Leicester,Crystal Palace,0,1.03,1.25,1.39,1.28,1.184,1.184
7.0,2021-10-02,65,1,Leeds,Watford,1,1.37,0.24,1.67,1.01,1.053,1.053
7.0,2021-10-02,65,1,Watford,Leeds,0,0.24,1.37,1.01,1.67,1.17,1.17
7.0,2021-10-03,66,1,Liverpool,Man City,1,1.24,1.13,1.58,1.77,2.927,2.927
7.0,2021-10-03,66,1,Man City,Liverpool,0,1.13,1.24,1.77,1.58,2.317,2.317
7.0,2021-10-02,67,1,Everton,Man Utd,0,1.27,0.98,0.94,1.86,1.856,1.856
7.0,2021-10-02,67,1,Man Utd,Everton,1,0.98,1.27,1.86,0.94,1.873,1.873
7.0,2021-10-03,68,1,Aston Villa,Spurs,0,1.11,1.84,1.34,1.58,1.162,1.162
7.0,2021-10-03,68,1,Spurs,Aston Villa,1,1.84,1.11,1.58,1.34,1.126,1.126
7.0,2021-10-03,69,1,Brentford,West Ham,0,1.18,1.67,1.02,1.69,1.676,1.676
7.0,2021-10-03,69,1,West Ham,Brentford,1,1.67,1.18,1.69,1.02,2.3,2.3
7.0,2021-10-02,70,1,Newcastle,Wolves,0,0.98,1.01,1.03,1.55,1.472,1.472
7.0,2021-10-02,70,1,Wolves,Newcastle,1,1.01,0.98,1.55,1.03,1.505,1.505
8.0,2021-10-18,71,1,Arsenal,Crystal Palace,1,1.52,0.56,1.6,0.92,1.084,1.084
8.0,2021-10-18,71,1,Crystal Palace,Arsenal,0,0.56,1.52,0.92,1.6,1.18,1.18
8.0,2021-10-16,72,1,Aston Villa,Wolves,1,1.19,1.64,1.41,1.03,1.152,1.152
8.0,2021-10-16,72,1,Wolves,Aston Villa,0,1.64,1.19,1.03,1.41,1.406,1.406
