player_id,fixture_id,goal_xP,assist_xP,bonus_xP,cs_xP,concede_xP,xP
3,236,0.0,0.0,0.0,0.0,0.0,0.0
3,243,0.0,0.0,0.0,0.0,0.0,0.0
3,251,0.0,0.0,0.0,0.0,0.0,0.0
3,261,0.0,0.0,0.0,0.0,0.0,0.0
3,279,0.0,0.0,0.0,0.0,0.0,0.0
3,281,0.0,0.0,0.0,0.0,0.0,0.0
3,291,0.0,0.0,0.0,0.0,0.0,0.0
3,304,0.0,0.0,0.0,0.0,0.0,0.0
3,311,0.0,0.0,0.0,0.0,0.0,0.0
3,326,0.0,0.0,0.0,0.0,0.0,0.0
3,331,0.0,0.0,0.0,0.0,0.0,0.0
3,349,0.0,0.0,0.0,0.0,0.0,0.0
3,351,0.0,0.0,0.0,0.0,0.0,0.0
3,365,0.0,0.0,0.0,0.0,0.0,0.0
3,371,0.0,0.0,0.0,0.0,0.0,0.0
4,1,,,,,,
4,18,0.0,0.0,0.0,0.0,0.0,0.0
4,24,0.108,0.0,0.0,0.0,0.0,0.211
4,31,0.244,0.0,0.0,0.0,0.0,0.897
4,43,1.062,0.116,0.586,0.0,0.0,2.635
4,51,0.955,0.301,0.474,0.0,0.0,3.73
4,61,0.74,0.182,0.571,0.0,0.0,3.493
4,71,0.956,0.221,0.461,0.0,0.0,3.639
4,81,1.24,0.252,0.9,0.0,0.0,4.392
4,93,1.208,0.215,0.744,0.0,0.0,4.167
4,101,1.947,0.244,0.607,0.0,0.0,4.798
4,114,0.859,0.104,0.492,0.0,0.0,3.455
4,121,1.604,0.251,0.396,0.0,0.0,4.251
4,134,1.393,0.107,0.318,0.0,0.0,3.817
4,142,1.753,0.102,0.254,0.0,0.0,4.109
4,151,1.766,0.098,0.204,0.0,0.0,4.068
4,161,1.465,0.082,0.163,0.0,0.0,2.597
4,173,1.408,0.078,0.131,0.0,0.0,1.808
4,187,1.363,0.076,0.105,0.0,0.0,1.063
4,191,1.37,0.076,0.034,0.0,0.0,0.348
4,201,0.825,0.046,0.084,0.0,0.0,0.591
4,218,1.228,0.068,0.004,0.0,0.0,0.0
4,221,1.635,0.091,0.067,0.0,0.0,0.759
4,236,1.116,0.062,0.054,0.0,0.0,0.323
4,243,1.068,0.059,0.006,0.0,0.0,0.0
4,251,1.686,0.094,0.043,0.0,0.0,0.382
4,261,0.936,0.052,0.018,0.0,0.0,0.0
4,279,1.539,0.086,0.027,0.0,0.0,0.0
4,281,1.945,0.108,0.022,0.0,0.0,0.0
4,291,1.398,0.078,0.014,0.0,0.0,0.0
4,304,1.534,0.085,0.011,0.0,0.0,0.0
4,311,1.746,0.097,0.009,0.0,0.0,0.0
4,326,1.72,0.096,0.007,0.0,0.0,0.0
4,331,1.691,0.094,0.005,0.0,0.0,0.0
