fpl_id,understat_id,gameweek,kickoff_date,completed,home_team,away_team,home_score,away_score,home_proj_score,away_proj_score,home_xG,away_xG
52,16432,6.0,2021-09-25,1,Brentford,Liverpool,3.0,3.0,0.8,2.17,3.08,2.83
53,16426,6.0,2021-09-25,1,Chelsea,Man City,0.0,1.0,1.26,1.46,0.21,1.95
54,16435,6.0,2021-09-27,1,Crystal Palace,Brighton,1.0,1.0,1.14,1.24,1.42,0.99
55,16428,6.0,2021-09-25,1,Everton,Norwich,2.0,0.0,1.74,0.85,2.02,0.81
56,16429,6.0,2021-09-25,1,Leeds,West Ham,1.0,2.0,1.47,1.57,1.26,2.05
57,16430,6.0,2021-09-25,1,Leicester,Burnley,2.0,2.0,1.72,1.08,2.09,0.47
58,16431,6.0,2021-09-25,1,Man Utd,Aston Villa,0.0,1.0,1.95,0.92,1.98,1.57
59,16433,6.0,2021-09-26,1,Southampton,Wolves,0.0,1.0,1.25,1.15,0.94,1.01
60,16427,6.0,2021-09-25,1,Watford,Newcastle,1.0,1.0,1.39,1.31,1.06,2.16
61,16436,7.0,2021-10-02,1,Brighton,Arsenal,0.0,0.0,1.24,1.21,1.24,0.4
62,16437,7.0,2021-10-02,1,Burnley,Norwich,0.0,0.0,1.56,1.01,0.85,0.56
63,16438,7.0,2021-10-02,1,Chelsea,Southampton,3.0,1.0,2.0,0.57,4.0,1.59
64,16439,7.0,2021-10-03,1,Crystal Palace,Leicester,2.0,2.0,1.28,1.39,1.25,1.03
65,16440,7.0,2021-10-02,1,Leeds,Watford,1.0,0.0,1.67,1.01,1.37,0.24
66,16441,7.0,2021-10-03,1,Liverpool,Man City,2.0,2.0,1.58,1.77,1.24,1.13
67,16442,7.0,2021-10-02,1,Man Utd,Everton,1.0,1.0,1.86,0.94,0.98,1.27
68,16443,7.0,2021-10-03,1,Spurs,Aston Villa,2.0,1.0,1.58,1.34,1.84,1.11
69,16444,7.0,2021-10-03,1,West Ham,Brentford,1.0,2.0,1.69,1.02,1.67,1.18
70,16445,7.0,2021-10-02,1,Wolves,Newcastle,2.0,1.0,1.55,1.03,1.01,0.98
71,16446,8.0,2021-10-18,1,Arsenal,Crystal Palace,2.0,2.0,1.6,0.92,1.52,0.56
72,16447,8.0,2021-10-16,1,Aston Villa,Wolves,2.0,3.0,1.41,1.03,1.19,1.64
73,16448,8.0,2021-10-16,1,Brentford,Chelsea,0.0,1.0,0.84,1.74,1.98,0.3
74,16449,8.0,2021-10-17,1,Everton,West Ham,0.0,1.0,1.48,1.32,0.92,1.81
75,16450,8.0,2021-10-16,1,Leicester,Man Utd,4.0,2.0,1.21,1.75,2.81,1.3
76,16451,8.0,2021-10-16,1,Man City,Burnley,2.0,0.0,2.75,0.44,2.39,1.13
77,16452,8.0,2021-10-17,1,Newcastle,Spurs,2.0,3.0,1.37,1.72,0.61,1.94
78,16453,8.0,2021-10-16,1,Norwich,Brighton,0.0,0.0,0.97,1.35,1.12,1.22
79,16454,8.0,2021-10-16,1,Southampton,Leeds,1.0,0.0,1.42,1.29,1.88,0.37
80,16455,8.0,2021-10-16,1,Watford,Liverpool,0.0,5.0,0.83,2.54,0.28,3.61
81,16456,9.0,2021-10-22,1,Arsenal,Aston Villa,3.0,1.0,1.56,1.17,3.91,1.48
82,16457,9.0,2021-10-24,1,Brentford,Leicester,1.0,2.0,1.38,1.44,1.28,1.08
83,16458,9.0,2021-10-23,1,Brighton,Man City,1.0,4.0,0.73,2.08,1.27,3.31
84,16459,9.0,2021-10-23,1,Chelsea,Norwich,7.0,0.0,2.21,0.47,2.84,0.19
85,16460,9.0,2021-10-23,1,Crystal Palace,Newcastle,1.0,1.0,1.53,1.19,1.97,0.82
86,16461,9.0,2021-10-23,1,Everton,Watford,2.0,5.0,1.64,0.81,1.75,3.63
87,16462,9.0,2021-10-23,1,Leeds,Wolves,1.0,1.0,1.3,1.18,1.77,0.88
88,16463,9.0,2021-10-24,1,Man Utd,Liverpool,0.0,5.0,1.53,2.04,1.47,3.84
89,16464,9.0,2021-10-23,1,Southampton,Burnley,2.0,2.0,1.48,1.1,1.55,0.73
90,16465,9.0,2021-10-24,1,West Ham,Spurs,1.0,0.0,1.65,1.35,1.73,0.78
