gameweek,manager_id,player_id
1,505657,17
1,505657,39
1,505657,69
1,505657,78
1,505657,141
1,505657,169
1,505657,177
1,505657,215
1,505657,233
1,505657,245
1,505657,275
1,505657,277
1,505657,376
1,505657,388
1,505657,491
2,505657,17
2,505657,39
2,505657,69
2,505657,78
2,505657,141
2,505657,169
2,505657,177
2,505657,215
2,505657,233
2,505657,245
2,505657,275
2,505657,277
2,505657,376
2,505657,388
2,505657,491
3,505657,17
3,505657,69
3,505657,141
3,505657,169
3,505657,177
3,505657,215
3,505657,233
3,505657,245
3,505657,275
3,505657,277
3,505657,376
3,505657,388
3,505657,413
3,505657,429
3,505657,491
4,505657,22
4,505657,56
4,505657,69
4,505657,70
4,505657,177
4,505657,185
4,505657,233
4,505657,237
4,505657,268
4,505657,389
4,505657,413
4,505657,435
4,505657,437
4,505657,491
4,505657,579
5,505657,22
5,505657,56
5,505657,69
5,505657,70
5,505657,185
5,505657,189
5,505657,233
5,505657,237
5,505657,268
5,505657,389
5,505657,430
5,505657,435
5,505657,437
5,505657,491
5,505657,579
6,505657,22
6,505657,56
6,505657,69
6,505657,70
6,505657,185
6,505657,233
6,505657,237
6,505657,268
6,505657,389
6,505657,413
6,505657,430
6,505657,435
6,505657,437
6,505657,491
6,505657,579
7,505657,22
7,505657,56
7,505657,69
7,505657,70
7,505657,185
7,505657,233
7,505657,237
7,505657,240
7,505657,389
7,505657,413
7,505657,430
7,505657,435
7,505657,437
7,505657,491
7,505657,579
8,505657,22
8,505657,56
8,505657,69
8,505657,70
8,505657,185
8,505657,196
8,505657,233
8,505657,237
8,505657,240
8,505657,389
8,505657,413
8,505657,430
8,505657,437
8,505657,491
8,505657,579
9,505657,22
9,505657,56
9,505657,69
9,505657,70
9,505657,185
9,505657,196
9,505657,233
9,505657,237
9,505657,265
9,505657,389
9,505657,413
9,505657,430
9,505657,437
9,505657,491
9,505657,529
10,505657,22
10,505657,56
10,505657,69
10,505657,70
10,505657,185
10,505657,196
10,505657,205
10,505657,233
10,505657,237
10,505657,265
10,505657,413
10,505657,430
10,505657,437
10,505657,491
10,505657,556
11,505657,22
11,505657,56
11,505657,69
11,505657,70
11,505657,142
11,505657,196
11,505657,205
11,505657,233
11,505657,237
11,505657,265
11,505657,413
11,505657,430
11,505657,437
11,505657,491
11,505657,556
12,505657,56
12,505657,69
12,505657,70
12,505657,142
12,505657,144
12,505657,196
12,505657,205
12,505657,233
12,505657,237
12,505657,265
12,505657,413
12,505657,430
12,505657,437
12,505657,491
12,505657,556
13,505657,56
13,505657,69
13,505657,70
13,505657,142
13,505657,144
13,505657,196
13,505657,205
13,505657,233
13,505657,237
13,505657,359
13,505657,430
13,505657,437
13,505657,491
13,505657,525
13,505657,556
14,505657,56
14,505657,69
14,505657,70
14,505657,142
14,505657,144
14,505657,196
14,505657,205
14,505657,233
14,505657,237
14,505657,359
14,505657,430
14,505657,437
14,505657,491
14,505657,525
14,505657,556
15,505657,56
15,505657,69
15,505657,70
15,505657,78
15,505657,142
15,505657,196
15,505657,233
15,505657,237
15,505657,240
15,505657,256
15,505657,359
15,505657,430
15,505657,491
15,505657,525
15,505657,556
16,505657,56
16,505657,69
16,505657,70
16,505657,78
16,505657,142
16,505657,233
16,505657,237
16,505657,240
16,505657,256
16,505657,261
16,505657,359
16,505657,450
16,505657,491
16,505657,525
16,505657,556
17,505657,40
17,505657,56
17,505657,69
17,505657,70
17,505657,142
17,505657,154
17,505657,233
17,505657,237
17,505657,240
17,505657,256
17,505657,261
17,505657,413
17,505657,450
17,505657,491
17,505657,556
18,505657,40
18,505657,56
18,505657,69
18,505657,70
18,505657,142
18,505657,154
18,505657,233
18,505657,237
18,505657,240
18,505657,256
18,505657,261
18,505657,413
18,505657,450
18,505657,491
18,505657,556
19,505657,26
19,505657,40
19,505657,56
19,505657,69
19,505657,142
19,505657,154
19,505657,233
19,505657,237
19,505657,240
19,505657,256
19,505657,261
19,505657,413
19,505657,450
19,505657,491
19,505657,556
20,505657,26
20,505657,40
20,505657,69
20,505657,142
20,505657,233
20,505657,237
20,505657,240
20,505657,256
20,505657,261
20,505657,370
20,505657,413
20,505657,420
20,505657,450
20,505657,491
20,505657,556
21,505657,26
21,505657,40
21,505657,44
21,505657,69
21,505657,237
21,505657,240
21,505657,256
21,505657,261
21,505657,359
21,505657,370
21,505657,413
21,505657,420
21,505657,450
21,505657,491
21,505657,556
22,505657,26
22,505657,40
22,505657,44
22,505657,69
22,505657,237
22,505657,240
22,505657,256
22,505657,261
22,505657,277
22,505657,370
22,505657,413
22,505657,420
22,505657,450
22,505657,491
22,505657,556
23,505657,26
23,505657,40
23,505657,44
23,505657,69
23,505657,196
23,505657,237
23,505657,240
23,505657,256
23,505657,277
23,505657,370
23,505657,413
23,505657,420
23,505657,450
23,505657,491
23,505657,556
24,505657,26
24,505657,40
24,505657,44
24,505657,69
24,505657,196
24,505657,237
24,505657,240
24,505657,256
24,505657,277
24,505657,370
24,505657,413
24,505657,420
24,505657,450
24,505657,491
24,505657,559
25,505657,40
25,505657,44
25,505657,51
25,505657,69
25,505657,196
25,505657,237
25,505657,240
25,505657,256
25,505657,277
25,505657,370
25,505657,413
25,505657,420
25,505657,450
25,505657,491
25,505657,559
26,505657,22
26,505657,40
26,505657,44
26,505657,69
26,505657,196
26,505657,233
26,505657,237
26,505657,256
26,505657,370
26,505657,413
26,505657,420
26,505657,450
26,505657,491
26,505657,559
26,505657,681
27,505657,106
27,505657,112
27,505657,145
27,505657,208
