fpl_id,understat_id,fpl_name,position,team_name
135,782.0,Benjamin Chilwell,D,Chelsea
136,,Tammy Abraham,F,Chelsea
137,2662.0,Christian Pulisic,M,Chelsea
138,7768.0,Mason Mount,M,Chelsea
139,,Ethan Ampadu,D,Chelsea
140,6456.0,Callum Hudson-Odoi,M,Chelsea
141,5220.0,Kai Havertz,M,Chelsea
142,8067.0,Reece James,D,Chelsea
143,6880.0,Edouard Mendy,G,Chelsea
144,9040.0,Conor Gallagher,M,Crystal Palace
145,7988.0,Billy Gilmour,M,Norwich
146,2190.0,Vicente Guaita,G,Crystal Palace
147,530.0,James Tomkins,D,Crystal Palace
148,633.0,James McArthur,M,Crystal Palace
149,606.0,Christian Benteke,F,Crystal Palace
150,532.0,Cheikhou Kouyaté,D,Crystal Palace
151,,Martin Kelly,D,Crystal Palace
152,5549.0,Luka Milivojevic,M,Crystal Palace
153,672.0,Jordan Ayew,F,Crystal Palace
154,522.0,Wilfried Zaha,M,Crystal Palace
155,757.0,Jeffrey Schlupp,M,Crystal Palace
156,856.0,Jack Butland,G,Crystal Palace
157,6027.0,Jairo Riedewald,M,Crystal Palace
158,,Jarosław Jach,D,Crystal Palace
159,5735.0,Jean-Philippe Mateta,F,Crystal Palace
160,8706.0,Eberechi Eze,M,Crystal Palace
161,6451.0,Nathan Ferguson,D,Crystal Palace
162,8214.0,Tyrick Mitchell,D,Crystal Palace
163,876.0,Fabian Delph,M,Everton
164,,Gylfi Sigurdsson,M,Everton
165,585.0,Seamus Coleman,D,Everton
166,,James Rodríguez,M,Everton
167,,Bernard Anício Caldeira Duarte,M,Everton
168,1823.0,Lucas Digne,D,Aston Villa
169,1653.0,Michael Keane,D,Everton
170,741.0,Jordan Pickford,G,Everton
171,1379.0,Allan Marques Loureiro,M,Everton
172,2383.0,André Filipe Tavares Gomes,M,Everton
173,1726.0,Abdoulaye Doucouré,M,Everton
174,500.0,Alex Iwobi,M,Everton
175,6521.0,Yerry Mina,D,Everton
176,1042.0,Tom Davies,M,Everton
177,5555.0,Dominic Calvert-Lewin,F,Everton
178,985.0,Mason Holgate,D,Everton
179,7689.0,Ben Godfrey,D,Everton
180,6026.0,Richarlison de Andrade,F,Everton
181,,João Virgínia,G,Everton
182,,Pablo Hernández Domínguez,M,Leeds
183,,Francisco Casilla Cortés,G,Leeds
184,8816.0,Liam Cooper,D,Leeds
185,8716.0,Luke Ayling,D,Leeds
186,4381.0,Mateusz Klich,M,Leeds
187,2381.0,Rodrigo Moreno,F,Leeds
188,8718.0,Stuart Dallas,M,Leeds
189,822.0,Patrick Bamford,F,Leeds
190,2163.0,Diego Llorente,D,Leeds
191,8719.0,Kalvin Phillips,M,Leeds
192,3428.0,Hélder Wander Sousa de Azevedo e Costa,M,Leeds
193,1014.0,Tyler Roberts,M,Leeds
194,6273.0,Robin Koch,D,Leeds
195,,Ian Carlo Poveda-Ocampo,M,Leeds
196,8026.0,Raphael Dias Belloli,M,Leeds
197,8721.0,Jamie Shackleton,M,Leeds
198,8717.0,Pascal Struijk,D,Leeds
199,8715.0,Illan Meslier,G,Leeds
200,745.0,Kasper Schmeichel,G,Leicester
201,807.0,Jonny Evans,D,Leicester
202,753.0,Marc Albrighton,M,Leicester
203,1785.0,Nampalys Mendy,M,Leicester
204,473.0,Danny Ward,G,Leicester
205,755.0,Jamie Vardy,F,Leicester
206,,Dennis Praet,M,Leicester
207,3303.0,Ricardo Domingos Barbosa Pereira,D,Leicester
208,759.0,Daniel Amartey,D,Leicester
209,6157.0,Timothy Castagne,D,Leicester
210,5956.0,Youri Tielemans,M,Leicester
211,770.0,Ayoze Pérez,M,Leicester
212,6818.0,James Maddison,M,Leicester
213,620.0,Kelechi Iheanacho,F,Leicester
214,6418.0,Hamza Choudhury,M,Leicester
215,6681.0,Harvey Barnes,M,Leicester
216,5545.0,Wilfred Ndidi,M,Leicester
217,5264.0,Çaglar Söyüncü,D,Leicester
218,7753.0,James Justin,D,Leicester
219,8562.0,Luke Thomas,D,Leicester
220,7589.0,Wesley Fofana,D,Leicester
221,489.0,James Milner,M,Liverpool
222,605.0,Jordan Henderson,M,Liverpool
223,,Adrián San Miguel del Castillo,G,Liverpool
224,332.0,Joel Matip,D,Liverpool
225,229.0,Thiago Alcántara do Nascimento,M,Liverpool
226,,Xherdan Shaqiri,M,Liverpool
227,966.0,Alex Oxlade-Chamberlain,M,Liverpool
228,482.0,Roberto Firmino,F,Liverpool
229,833.0,Virgil van Dijk,D,Liverpool
230,838.0,Sadio Mané,M,Liverpool
231,1257.0,Alisson Ramses Becker,G,Liverpool
232,3420.0,Fabio Henrique Tavares,M,Liverpool
233,1250.0,Mohamed Salah,M,Liverpool
234,1688.0,Andrew Robertson,D,Liverpool
235,484.0,Divock Origi,F,Liverpool
236,8239.0,Takumi Minamino,M,Liverpool
237,1791.0,Trent Alexander-Arnold,D,Liverpool
238,987.0,Joseph Gomez,D,Liverpool
239,5247.0,Naby Keita,M,Liverpool
240,6854.0,Diogo Jota,M,Liverpool
